New Module #,New Module Title,Resource Type,Type,Link Title,Description,Document URL,Original Module Label,Notes
4,Market Analysis: Elasticity and Efficiency,Quiz,External Link,Supply & Demand (Quiz 3),Khan Academy practice quiz on consumer and producer surplus,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/unit-2-supply-and-demnd/27/quiz/unit-2-supply-and-demnd-quiz-3,Module 4,moved from old Module 4 (Welfare/Efficiency content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,Quiz,External Link,Supply & Demand (Quiz 4),Khan Academy practice quiz on deadweight loss and market interventions,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/unit-2-supply-and-demnd/29-international-trade-and-public-policy/quiz/unit-2-supply-and-demnd-quiz-4,Module 4,moved from old Module 4 (Welfare/Efficiency content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,required reading - textbook,External Link,Elasticity,OpenStax Chapter 5: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/5-introduction-to-elasticity,Module 3,moved from old Module 3/4 label (Elasticity content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,required reading - textbook,External Link,Demand and Supply,OpenStax Chapter 3: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/3-introduction-to-demand-and-supply,Module 4,moved from old Module 4 (Welfare/Efficiency content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,optional reading - textbook,External Link,Environmental Protection (Optional),OpenStax Chapter 12: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/12-introduction-to-environmental-protection-and-negative-externalities,Module 4,moved from old Module 4 (Welfare/Efficiency content merges into new M4)
4,Market Analysis: Elasticity and Efficiency,optional reading - textbook,External Link,Positive Externalities (Optional),OpenStax Chapter 13: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/13-introduction-to-positive-externalities-and-public-goods,Module 4,moved from old Module 4 (Welfare/Efficiency content merges into new M4)
5,Factor Markets,Guided Notes,Embedded Resource,Factors of Production,Guided notes for neoclassical resource distribution and factor markets,https://docs.google.com/document/d/1TK1MnlsQltGxKx42MEi_wA3Ze8sYn12Z/edit?usp=sharing&ouid=112919447107893002324&rtpof=true&sd=true,Module 5,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
5,Factor Markets,Lecture Slides,Embedded Resource,Factors of Production,"Neoclassical resource distribution, markets for land, capital, and labor",https://docs.google.com/presentation/d/1DZvp3sU4LAksPdCzpBcFUjqGSZt4Qava/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 5,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
5,Factor Markets,Quiz,External Link,Module 5 Quiz - Factor Markets (Quiz 1),Khan Academy practice quiz on derived demand and marginal product,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/factor-markets/ap-labor-marginal-product-rev/quiz/factor-markets-quiz-1,Module 5,unchanged - old module number already matches new design
5,Factor Markets,Quiz,External Link,Production & Costs (Quiz 1),Khan Academy practice quiz on production decisions and costs,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/production-cost-and-the-perfect-competition-model-temporary/33-long-run-p/quiz/production-cost-and-the-perfect-competition-model-temporary-quiz-1,Module 5,unchanged - old module number already matches new design
5,Factor Markets,required reading - textbook,External Link,Module 5 Reading - Labor Markets and Income,OpenStax Chapter 14: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/14-introduction-to-labor-markets-and-income,Module 5,unchanged - old module number already matches new design
5,Factor Markets,required reading - textbook,External Link,Module 5 Reading - Labor and Financial Markets,OpenStax Chapter 4: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/4-introduction-to-labor-and-financial-markets,Module 5,unchanged - old module number already matches new design
5,Factor Markets,optional reading - textbook,External Link,"Module 5 Reading - Production, Costs (Optional)",OpenStax Chapter 7: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/7-introduction-to-production-costs-and-industry-structure,Module 5,unchanged - old module number already matches new design
6,"Markets, History and Global Economy",Guided Notes,Embedded Resource,,,https://docs.google.com/document/d/1hwZc6RutYzotMuE2fcVhatb_TukOIV6I/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,,
6,"Markets, History and Global Economy",Lecture Slides,Embedded Resource,,,https://docs.google.com/presentation/d/1gJtpyuvJnnAJTpXpl0Ep82pZBPiwFXjp/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,,
7,Structural Inequality and Game Theory Preview,Guided Notes,External Link,Structural Inequality,,https://docs.google.com/document/d/1U_-z0f1HHcS2sBSeZe5djFDK_lyEMj62/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 7,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,Lecture Slides,External Link,Structural Inequality,,https://docs.google.com/presentation/d/16R5SYicTgafUNunpUIayiwxDE78fB4h-/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module7,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,Quiz,External Link,Basic Economic Concepts (Quiz 1),Khan Academy practice quiz on economic systems and capitalism,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts/resource-allocation-and-economic-systems/quiz/basic-economic-concepts-quiz-1,Module 7,unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,required reading - textbook,External Link,Poverty and Economic Inequality,OpenStax Chapter 15: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/15-introduction-to-poverty-and-economic-inequality,Module 7,unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,optional reading - textbook,External Link,Globalization,OpenStax Chapter 20: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/20-introduction-to-globalization-and-protectionism,Module 7,unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,optional reading - textbook,External Link,International Trade,OpenStax Chapter 19: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/19-introduction-to-international-trade,Module 7,unchanged - old module number already matches new design
7,Structural Inequality and Game Theory Preview,optional reading - textbook,External Link,Public Economy,OpenStax Chapter 18: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/18-introduction-to-public-economy,Module 7,unchanged - old module number already matches new design
8,Structural Inequality Extensions,Guided Notes,External Link,Structural Inequality,,https://docs.google.com/document/d/10rEjDM7etIrcnMmQXY--76Y0iLPTQzVl/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 8,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
8,Structural Inequality Extensions,Lecture Slides,External Link,Structural Inequality,,https://docs.google.com/presentation/d/1h4RrSQIKRqf7pJSWdOhw0z1EfTTcNKS7/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 8,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
8,Structural Inequality Extensions,Quiz,External Link,Market Failure (Quiz 2),Khan Academy practice quiz on income inequality and market failure,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/ap-consumer-producer-surplus/inequality/quiz/ap-consumer-producer-surplus-quiz-2,Module 8,unchanged - old module number already matches new design
8,Structural Inequality Extensions,optional reading - textbook,External Link,Public Economy (Optional),OpenStax Chapter 18: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/18-introduction-to-public-economy,Module 8,unchanged - old module number already matches new design
9,Firms and Cost of Production,Guided Notes,Embedded Resource,Cost of Production,"Guided notes for firm production, costs, and economies of scale",https://docs.google.com/document/d/1RsL9Hc9qTG_-T6EAOmoV2JtTR3nMq6-W/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 9,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
9,Firms and Cost of Production,Lecture Slides,Embedded Resource,Cost of Production,"Firm production, revenue, profits, and short-run/long-run costs",https://docs.google.com/presentation/d/1AEpzUXCWPs5jZQylZIDDbOAJumEvCwDk/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 9,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
9,Firms and Cost of Production,Quiz,External Link,Production & Costs (Quiz 1),Khan Academy practice quiz on production costs and firm decisions,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/production-cost-and-the-perfect-competition-model-temporary/33-long-run-p/quiz/production-cost-and-the-perfect-competition-model-temporary-quiz-1,Module 9,unchanged - old module number already matches new design
9,Firms and Cost of Production,Quiz,External Link,Production & Costs (Quiz 2),Khan Academy practice quiz on cost curves and production functions,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/production-cost-and-the-perfect-competition-model-temporary/profit-maximization/quiz/production-cost-and-the-perfect-competition-model-temporary-quiz-2,Module 9,unchanged - old module number already matches new design
9,Firms and Cost of Production,required reading - textbook,External Link,"Production, Costs, and Industry Structure",OpenStax Chapter 7: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/7-introduction-to-production-costs-and-industry-structure,Module 9,unchanged - old module number already matches new design
9,Firms and Cost of Production,optional reading - textbook,External Link,Perfect Competition (Optional),OpenStax Chapter 8: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/8-introduction-to-perfect-competition,Module 9,unchanged - old module number already matches new design
10,Profit Maximization,Guided Notes,Embedded Resource,Profit Maximization,Guided notes for perfect competition and monopoly behavior,https://docs.google.com/document/d/1QfIdSqwv7m4E4ILhIqXlXT9eT6emj1EF/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 10,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
10,Profit Maximization,Lecture Slides,Embedded Resource,Profit Maximization,Perfect competition and monopoly profit-maximizing behavior,https://docs.google.com/presentation/d/1hFIiXkF-DUsVMUIR4qOdYMReh9BXfpgb/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 10,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
10,Profit Maximization,Quiz,External Link,Imperfect Competition (Quiz 1),Khan Academy practice quiz on monopoly and imperfect competition,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/imperfect-competition/ap-price-discrimination-tutorial/quiz/imperfect-competition-quiz-1,Module 10,unchanged - old module number already matches new design
10,Profit Maximization,Quiz,External Link,Production & Costs (Quiz 2),Khan Academy practice quiz on cost curves and profit maximization,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/production-cost-and-the-perfect-competition-model-temporary/profit-maximization/quiz/production-cost-and-the-perfect-competition-model-temporary-quiz-2,Module 10,unchanged - old module number already matches new design
10,Profit Maximization,Quiz,External Link,Production & Costs (Quiz 3),Khan Academy practice quiz on perfect competition and profit maximization,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/production-cost-and-the-perfect-competition-model-temporary/ap-perfect-competition/quiz/production-cost-and-the-perfect-competition-model-temporary-quiz-3,Module 10,unchanged - old module number already matches new design
10,Profit Maximization,required reading - textbook,External Link,Monopoly,OpenStax Chapter 9: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/9-introduction-to-a-monopoly,Module 10,unchanged - old module number already matches new design
10,Profit Maximization,required reading - textbook,External Link,Perfect Competition,OpenStax Chapter 8: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/8-introduction-to-perfect-competition,Module 10,unchanged - old module number already matches new design
10,Profit Maximization,optional reading - textbook,External Link,Monopolistic Competition (Optional),OpenStax Chapter 10: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/10-introduction-to-monopolistic-competition-and-oligopoly,Module 10,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,Guided Notes,Embedded Resource,Asymmetric Information,"Guided notes for oligopoly, game theory, and monopolistic competition",https://docs.google.com/document/d/15bYf6EUB7KRBP_LlDDlwKqmmUozueoxx/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 11,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,Lecture Slides,Embedded Resource,Asymmetric Information,"Oligopoly, game theory, monopolistic competition, and antitrust law",https://docs.google.com/presentation/d/1GqToIY3ls7LfK5FaqGRMmlTlZj1B1D1h/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 11,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,Quiz,External Link,Imperfect Competition (Quiz 1),Khan Academy practice quiz on monopoly and market power,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/imperfect-competition/ap-price-discrimination-tutorial/quiz/imperfect-competition-quiz-1,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,Quiz,External Link,Imperfect Competition (Quiz 2),Khan Academy practice quiz on oligopoly and monopolistic competition,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/imperfect-competition/oligopoly-and-game-theory/quiz/imperfect-competition-quiz-2,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,required reading - textbook,External Link,Monopolistic Competition and Oligopoly,OpenStax Chapter 10: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/10-introduction-to-monopolistic-competition-and-oligopoly,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,required reading - textbook,External Link,Monopoly,OpenStax Chapter 9: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/9-introduction-to-a-monopoly,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,required reading - textbook,External Link,Perfect Competition,OpenStax Chapter 8: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/8-introduction-to-perfect-competition,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,optional reading - textbook,External Link,Antitrust Policy (Optional),OpenStax Chapter 11: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/11-introduction-to-monopoly-and-antitrust-policy,Module 11,unchanged - old module number already matches new design
11,Imperfect Competition and Game Theory,optional reading - textbook,External Link,"Information, Risk, Insurance (Optional)",OpenStax Chapter 16: Optional reading,https://openstax.org/books/principles-microeconomics-3e/pages/16-introduction-to-information-risk-and-insurance,Module 11,unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,Guided Notes,Embedded Resource,Policy Paradox and Human Perspectives,"Guided notes for types of goods, externalities, and policy applications",https://docs.google.com/document/d/19UkNp9oW3bUac2JJNGJQWPj5_zgGUKZH/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 12,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,Lecture Slides,Embedded Resource,Policy Paradox and Human Perspectives,"Types of goods, externalities, government responses with taxes and subsidies",https://docs.google.com/presentation/d/11pANnnEsxXyASXwyleyhLal6h48NSgKi/edit?usp=drive_link&ouid=112919447107893002324&rtpof=true&sd=true,Module 12,[LINK UNCHANGED - protected] unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,Quiz,External Link,Market Failure (Quiz 1),Khan Academy practice quiz on externalities and public goods,https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/ap-consumer-producer-surplus/public-and-private-goods/quiz/ap-consumer-producer-surplus-quiz-1?referrer=upsell,Module 12,unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,required reading - textbook,External Link,Environmental Protection,OpenStax Chapter 12: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/12-introduction-to-environmental-protection-and-negative-externalities,Module 12,unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,required reading - textbook,External Link,Positive Externalities and Public Goods,OpenStax Chapter 13: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/13-introduction-to-positive-externalities-and-public-goods,Module 12,unchanged - old module number already matches new design
12,Policy Paradox and Human Perspectives,required reading - textbook,External Link,Public Economy,OpenStax Chapter 18: Core reading,https://openstax.org/books/principles-microeconomics-3e/pages/18-introduction-to-public-economy,Module 12,unchanged - old module number already matches new design
